id,user_id,name,phone_number,location,starts_on,ends_on,starts_at,ends_at,frequency,separation,recurrence_day,recurrence_week,recurrence_month
acefe4bc-b36c-45fb-a494-4b85800459f9,e5331f66-0213-11ed-92ac-00163ce15103,reintermediate transparent technologies,4812455906,03 Johnson Way,2020-10-21,2022-01-22,15:56,5:10,DAILY,3,4,,
7ce13ce2-23b5-47bc-99d6-7d912fcb4929,e5331f66-0213-11ed-92ac-00163ce15103,repurpose transparent eyeballs,1266788377,5221 Linden Parkway,2020-11-10,2022-06-22,5:50,15:52,DAILY,1,1,,
240a8a80-ae26-4edf-af98-40b9b6ec2834,e5331f66-0213-11ed-92ac-00163ce15103,redefine robust interfaces,3951706948,00 Huxley Place,2020-11-15,2021-02-17,11:57,9:17,DAILY,13,1,,
3c331d47-2fc3-4f08-b6a1-432032d6c6ee,e5331f66-0213-11ed-92ac-00163ce15103,enable magnetic e-commerce,3693851108,5995 Spohn Hill,2020-09-26,2021-01-09,8:25,7:22,DAILY,20,2,,
f9629537-3d92-45f6-88de-feb0c3815fe8,e5331f66-0213-11ed-92ac-00163ce15103,implement 24/365 metrics,8699593136,19915 Loftsgordon Parkway,2020-09-20,2022-03-18,5:45,21:03,DAILY,22,3,,
0dfa034e-ff4f-4eeb-b139-e67cd40b43ea,e5331f66-0213-11ed-92ac-00163ce15103,empower virtual users,2555014020,6 Anzinger Lane,2020-11-03,2022-06-28,7:22,23:49,DAILY,26,1,,
450edfb6-5161-4c3b-8ed0-930c8754c5e7,e5331f66-0213-11ed-92ac-00163ce15103,optimize granular deliverables,4048617080,0953 Melody Alley,2020-10-01,2021-11-05,14:54,19:11,DAILY,11,3,,
ab97c6f5-378e-47eb-8537-0b5012e0d57d,e5331f66-0213-11ed-92ac-00163ce15103,synergize B2C channels,8375066148,0 Mendota Trail,2020-10-22,2021-06-27,23:18,12:37,DAILY,4,1,,
dfb083f7-488e-4d4f-873a-37ab30fb9241,e5331f66-0213-11ed-92ac-00163ce15103,implement 24/365 niches,8756955689,92 Walton Drive,2020-10-20,2021-12-18,20:58,22:02,DAILY,1,1,,
d0fb7345-6ae8-4c48-867d-e3614ab0d7c5,e5331f66-0213-11ed-92ac-00163ce15103,incentivize synergistic niches,9978829975,5548 Golden Leaf Avenue,2020-10-10,2021-08-12,15:12,19:55,DAILY,12,2,,
42761cff-d977-4b8f-9c4b-30de408f46d6,e5331f66-0213-11ed-92ac-00163ce15103,target compelling partnerships,3024228441,91 Golf Avenue,2020-08-30,2021-08-12,2:59,4:46,DAILY,6,5,,
c332f236-6d35-443c-b2d3-5ced71eb5c38,e5331f66-0213-11ed-92ac-00163ce15103,streamline real-time interfaces,7218781868,1456 Forster Trail,2020-11-10,2021-11-01,13:03,1:42,DAILY,4,5,,
803a10eb-100e-49eb-93ab-fe126740ab74,e5331f66-0213-11ed-92ac-00163ce15103,repurpose e-business e-commerce,2375398451,241 Cambridge Circle,2020-09-25,2022-01-15,4:27,19:52,DAILY,24,6,,
8139735c-51e8-4846-b590-942c8fba0528,e5331f66-0213-11ed-92ac-00163ce15103,deploy web-enabled models,7789569165,3224 Dixon Place,2020-10-08,2022-04-17,0:53,12:25,DAILY,6,1,,
5797ddb7-05fb-4bac-bd95-6b596b2c553f,e5331f66-0213-11ed-92ac-00163ce15103,harness killer metrics,3735151006,792 Hazelcrest Terrace,2020-10-26,2021-01-31,6:06,20:30,DAILY,5,5,,
7ecb82cb-d1f6-4bc1-997a-90a819f6d227,e5331f66-0213-11ed-92ac-00163ce15103,integrate viral infrastructures,9666414052,3 5th Street,2020-10-03,2022-01-12,1:55,10:15,DAILY,2,6,,
37444283-df4c-41b1-b75f-13944f9ab21a,e5331f66-0213-11ed-92ac-00163ce15103,evolve compelling e-services,2143977773,09 Portage Court,2020-11-14,2020-12-12,19:59,22:13,DAILY,13,1,,
9ff15a06-d6cb-49c5-86c2-86c21c3b834b,e5331f66-0213-11ed-92ac-00163ce15103,matrix turn-key schemas,7007345904,74408 Steensland Parkway,2020-09-02,2022-02-20,17:25,23:11,DAILY,11,0,,
